sales_month,category,state,customer_segment,total_orders,total_customers,total_sellers,total_quantity,total_sales,average_order_value,average_unit_price
2024-01-01,Fashion,Karnataka,New,169,161,158,227,3941257.3099999991,23321.049171598,17928.800295857989
2024-01-01,Sports,Tamil Nadu,New,52,50,52,69,852505.82,16394.342692308,12247.272307692305
2024-01-01,Sports,Tamil Nadu,Premium,56,54,54,83,1106351.0400000003,19756.268571429,12885.667321428573
2024-01-01,Electronics,Tamil Nadu,Premium,177,169,159,235,3724439.9099999997,21042.033389831,14180.95723163842
2024-01-01,Home & Kitchen,Uttar Pradesh,New,141,136,133,196,2743720.7699999996,19459.012553191,15473.937730496453
2024-01-01,Home & Kitchen,Gujarat,New,95,93,87,127,2350818.79,24745.460947368,17068.064526315789
2024-01-01,Grocery,Telangana,Regular,420,409,342,593,8289529.980000006,19736.976142857,13791.094095238097
2024-01-01,Fashion,Karnataka,Premium,181,175,165,276,4195658.6700000009,23180.434640884,15006.30237569061
2024-01-01,Home & Kitchen,Delhi,New,96,93,95,139,2506486.4300000006,26109.233645833,18471.966354166667
2024-01-01,Home & Kitchen,Gujarat,Premium,89,87,82,122,1970580.3799999997,22141.35258427,17618.60853932584
2024-01-01,Electronics,Delhi,Regular,620,590,446,820,12469491.39,20112.082887097,15502.47791935484
2024-01-01,Electronics,Tamil Nadu,New,150,142,140,203,2780786.350000001,18538.575666667,14372.4092
2024-01-01,Electronics,Karnataka,Premium,187,180,176,262,3540193.1899999995,18931.514385027,12685.817433155082
2024-01-01,Electronics,Karnataka,New,204,192,185,285,4208498.7699999986,20629.895931373,15770.283627450981
2024-01-01,Sports,Uttar Pradesh,Regular,354,349,287,504,8247841.2500000047,23298.986581921,16051.087175141231
2024-01-01,Electronics,West Bengal,New,87,84,84,121,1748133.6500000004,20093.490229885,14990.80390804598
2024-01-01,Fashion,Tamil Nadu,Premium,133,128,125,195,2262248.7699999996,17009.38924812,11389.491729323307
2024-01-01,Beauty,Uttar Pradesh,Regular,418,407,340,589,9362371.9899999965,22398.019114833,16141.052942583732
2024-01-01,Sports,Karnataka,Regular,362,357,306,506,8008518.72,22122.979889503,16010.414917127073
2024-01-01,Electronics,Karnataka,Regular,892,856,586,1200,17154193.980000004,19231.159170404,14652.278071748877
2024-01-01,Grocery,Uttar Pradesh,Premium,96,94,91,143,2163270.09,22534.0634375,15312.456875
2024-01-01,Home & Kitchen,Tamil Nadu,New,120,115,112,155,2105349.1999999993,17544.576666667,13989.439083333335
2024-01-01,Fashion,Tamil Nadu,New,119,116,108,159,3211454.7599999988,26987.014789916,18626.562521008407
2024-01-01,Beauty,Delhi,New,75,75,73,98,1374895.7699999998,18331.9436,16050.986400000007
2024-01-01,Grocery,Uttar Pradesh,Regular,414,408,335,576,8316750.43,20088.769154589,14559.606159420289
2024-01-01,Grocery,Gujarat,Premium,68,66,67,88,1252597.27,18420.548088235,13671.943235294118
2024-01-01,Home & Kitchen,Tamil Nadu,Premium,110,109,105,156,2047448.6000000006,18613.169090909,13585.476636363635
2024-01-01,Fashion,Karnataka,Regular,796,770,537,1092,17478900.52,21958.417738693,16024.098643216075
2024-01-01,Grocery,Tamil Nadu,Premium,68,68,65,93,1161444.6300000001,17080.068088235,10176.986617647059
2024-01-01,Grocery,Delhi,New,71,69,70,106,1420858.13,20012.086338028,14929.019859154931
2024-01-01,Beauty,Tamil Nadu,Premium,95,93,89,130,1929620.5699999998,20311.795473684,15983.75231578947
2024-01-01,Beauty,Gujarat,Premium,75,74,73,101,1596920.29,21292.270533333,17004.212133333331
2024-01-01,Beauty,Karnataka,Regular,452,436,360,612,10021144.52,22170.673716814,16089.785840707966
2024-01-01,Electronics,West Bengal,Premium,111,105,104,163,1930694.2699999996,17393.642072072,12930.352522522522
2024-01-01,Grocery,Uttar Pradesh,New,100,99,94,140,1749184.6199999999,17491.8462,14062.103100000002
2024-01-01,Grocery,Karnataka,Regular,453,443,373,627,9091540.1499999966,20069.625055188,13131.382825607068
2024-01-01,Beauty,Delhi,Premium,70,69,68,97,1369431.44,19563.306285714,15414.781000000003
2024-01-01,Sports,Delhi,Premium,66,63,64,87,1058923.78,16044.29969697,11977.131515151514
2024-01-01,Grocery,Gujarat,New,69,68,67,94,1043266.8600000002,15119.809565217,9822.6508695652174
2024-01-01,Beauty,Tamil Nadu,New,73,71,69,100,1224326.7399999998,16771.599178082,12455.117534246576
2024-01-01,Grocery,Tamil Nadu,New,73,72,68,96,1557505.91,21335.69739726,15158.348904109585
2024-01-01,Grocery,Delhi,Premium,68,66,65,107,1339596.2500000005,19699.944852941,12628.378970588237
2024-02-01,Electronics,Uttar Pradesh,Premium,185,179,177,268,3564804.67,19269.214432432,14356.919135135133
2024-02-01,Electronics,Maharashtra,New,180,175,165,234,2940011.0499999993,16333.394722222,12403.9735
2024-02-01,Beauty,Gujarat,New,50,48,50,67,607601.20999999985,12152.0242,10331.839200000002
2024-02-01,Sports,Uttar Pradesh,Regular,332,328,274,460,6877057.4900000021,20714.028584337,14601.322228915664
2024-02-01,Grocery,Tamil Nadu,New,73,71,70,93,1396224.5,19126.363013699,15569.802191780826
2024-02-01,Sports,Gujarat,Regular,213,207,200,285,5064367.51,23776.373286385,18195.992394366196
2024-02-01,Home & Kitchen,Karnataka,Regular,609,598,457,841,12627536.430000011,20734.870985222,15299.702660098523
2024-02-01,Grocery,Tamil Nadu,Premium,79,75,76,112,1368836.6199999999,17327.045822785,13972.609746835444
2024-02-01,Electronics,Uttar Pradesh,New,193,185,178,252,3667916.7999999989,19004.750259067,15001.842072538859
2024-02-01,Grocery,Telangana,Regular,373,368,314,554,8707917.9799999986,23345.62461126,14862.446943699728
2024-02-01,Electronics,West Bengal,Premium,107,103,101,141,2446256.54,22862.210654206,16573.706822429904
2024-02-01,Electronics,Uttar Pradesh,Regular,802,767,560,1120,14723929.970000008,18359.014925187,13287.181159600997
2024-02-01,Grocery,Uttar Pradesh,New,109,108,103,148,2505353.3699999996,22984.893302752,18034.315963302754
2024-02-01,Beauty,Uttar Pradesh,Regular,392,383,324,551,9553376.770000007,24370.859107143,17039.70540816327
2024-02-01,Grocery,Delhi,Regular,294,287,258,425,4510746.4500000011,15342.675,10361.400510204081
2024-02-01,Fashion,Karnataka,Regular,707,689,497,987,15444861.059999995,21845.630919378,15524.838925035358
2024-02-01,Beauty,Telangana,Regular,352,348,295,498,8755033.9,24872.255397727,17107.899886363637
2024-02-01,Home & Kitchen,Telangana,Regular,547,536,428,753,10684667.149999997,19533.212340037,14279.793235831807
2024-02-01,Grocery,Delhi,New,43,43,43,56,618960.07999999984,14394.420465116,10468.624883720931
2024-02-01,Home & Kitchen,Gujarat,Premium,68,66,65,98,1688712.7400000002,24834.010882353,17225.35073529412
2024-02-01,Grocery,Delhi,Premium,72,71,70,97,1532482.95,21284.485416667,16149.695
2024-02-01,Home & Kitchen,Tamil Nadu,Premium,99,97,93,138,2043834.2500000005,20644.79040404,15376.177575757574
2024-02-01,Fashion,Maharashtra,Premium,190,181,174,238,4009642.810000001,21103.383210526,16326.453684210524
2024-02-01,Home & Kitchen,Tamil Nadu,New,105,100,100,142,1675913.6099999999,15961.082,12355.971047619048
2024-02-01,Beauty,Gujarat,Regular,273,269,243,386,5870339.3299999982,21503.074468864,13618.205164835161
2024-02-01,Beauty,Tamil Nadu,New,67,65,65,99,1134819.9800000002,16937.611641791,12558.19313432836
2024-02-01,Sports,Telangana,Regular,301,297,264,418,5741752.8,19075.590697674,14380.809401993354
2024-02-01,Grocery,Karnataka,Regular,411,406,330,557,7455688.6200000038,18140.361605839,13179.554160583944
2024-02-01,Fashion,Maharashtra,New,161,159,153,229,3515856.6700000004,21837.619068323,15096.303788819872
2024-02-01,Home & Kitchen,Uttar Pradesh,Premium,127,124,120,176,2765709.38,21777.239212598,16330.335275590549
2024-02-01,Electronics,Karnataka,Regular,821,794,557,1131,14908763.860000003,18159.273885505,14040.104470158343
2024-02-01,Beauty,Karnataka,Regular,402,394,329,575,8137293.6,20242.023880597,14227.178880597014
2024-02-01,Grocery,Gujarat,Regular,286,282,241,405,5381860.0199999986,18817.692377622,13025.054860139862
2024-02-01,Beauty,Delhi,Regular,266,261,228,355,5532027.9400000013,20797.097518797,15545.848834586468
2024-02-01,Electronics,West Bengal,Regular,473,449,377,671,10445376.330000008,22083.248054968,14906.274545454547
2024-02-01,Fashion,Uttar Pradesh,Premium,131,131,123,181,2578365.6299999994,19682.180381679,14343.331603053435
2024-02-01,Home & Kitchen,Maharashtra,Premium,153,150,144,218,3970225.88,25949.18875817,17788.752091503269
2024-02-01,Fashion,Tamil Nadu,New,120,116,116,155,2028128.27,16901.068916667,13407.170833333334
2024-02-01,Electronics,Telangana,Premium,160,153,151,222,3547360.13,22171.0008125,15878.403749999998
2024-02-01,Sports,Gujarat,Premium,53,52,52,69,1068429.0399999998,20159.038490566,16433.717358490569
2024-02-01,Fashion,Tamil Nadu,Premium,124,118,114,173,3580457.0900000003,28874.653951613,21146.179999999993
2024-02-01,Fashion,West Bengal,Premium,89,86,84,115,1246245.72,14002.760898876,12197.847640449436
2024-02-01,Fashion,Telangana,Regular,613,590,456,836,12759703.039999997,20815.176247961,15891.008678629682
2024-02-01,Electronics,Tamil Nadu,New,126,119,120,181,2679636.4299999997,21266.955793651,15743.522698412698
2024-02-01,Grocery,Uttar Pradesh,Premium,96,94,87,125,1761358.88,18347.488333333,12392.770520833335
2024-02-01,Sports,Karnataka,Regular,336,331,283,459,7533614.3300000019,22421.471220238,16080.644851190476
2024-02-01,Home & Kitchen,Uttar Pradesh,New,132,127,123,192,2568341.4000000004,19457.131818182,14799.666287878788
2024-02-01,Home & Kitchen,Delhi,Premium,89,86,87,121,1650255.91,18542.201235955,15811.620898876406
2024-02-01,Sports,West Bengal,Premium,36,35,35,44,868583.82,24127.328333333,20101.752222222218
2024-02-01,Electronics,West Bengal,New,87,83,80,126,2149587.44,24707.901609195,15804.107931034479
2024-02-01,Fashion,Telangana,New,157,154,149,213,4143582.45,26392.244904459,17401.684777070062
2024-02-01,Beauty,Delhi,New,63,61,61,87,1139013.5199999998,18079.57968254,12444.82126984127
2024-02-01,Sports,Delhi,Regular,250,245,219,342,5087941.88,20351.76752,15309.6564
2024-02-01,Beauty,Uttar Pradesh,Premium,93,89,90,119,1840706.31,19792.540967742,14164.008279569893
2024-02-01,Home & Kitchen,Gujarat,Regular,422,407,350,583,10051055.730000004,23817.667606635,16106.876327014214
2024-02-01,Electronics,Tamil Nadu,Premium,141,138,130,204,3052872.2700000005,21651.576382979,13120.952553191491
2024-02-01,Home & Kitchen,Maharashtra,New,145,143,138,184,2426595.08,16735.138482759,12811.768896551723
2024-02-01,Fashion,West Bengal,Regular,425,413,350,600,11251969.190000001,26475.221623529,18869.504964705888
2024-02-01,Electronics,Maharashtra,Premium,206,197,186,269,3871591.9299999992,18794.135582524,14929.476456310678
2024-02-01,Grocery,Uttar Pradesh,Regular,419,416,340,584,8065336.629999998,19249.013436754,14256.251742243436
2024-02-01,Grocery,West Bengal,Premium,41,41,41,58,1468667.83,35821.166585366,22838.685853658535
2024-02-01,Home & Kitchen,Delhi,New,95,94,93,136,2279012.04,23989.600421053,16003.223684210527
2024-02-01,Electronics,Telangana,Regular,707,679,501,980,15655730.350000005,22143.890169731,16166.055091937751
2024-02-01,Electronics,Delhi,Regular,529,509,406,745,11563224.250000002,21858.646975425,15374.72489603024
2024-02-01,Fashion,Karnataka,Premium,183,177,169,234,3101621.6799999997,16948.752349727,13976.310601092899
2024-02-01,Beauty,Tamil Nadu,Premium,59,59,54,85,1143211.28,19376.462372881,14774.37288135593
2024-02-01,Sports,Maharashtra,New,80,80,80,116,1527468.3199999998,19093.354,13692.8145
2024-02-01,Electronics,Telangana,New,135,132,128,188,2020464.98,14966.407259259,12070.862
2024-02-01,Electronics,Karnataka,New,180,173,168,242,3548914.1400000015,19716.189666667,14823.274944444445
2024-02-01,Home & Kitchen,Gujarat,New,91,89,87,140,1523910.3599999999,16746.267692308,11906.515824175824
2024-02-01,Sports,Delhi,Premium,51,50,50,68,1391681.8900000001,27287.880196078,17684.992352941179
2024-02-01,Fashion,Gujarat,Regular,513,496,399,694,9915895.5000000019,19329.230994152,14299.390428849903
2024-02-01,Beauty,Gujarat,Premium,50,50,50,70,952198.51,19043.9702,15629.094599999999
2024-02-01,Fashion,Uttar Pradesh,Regular,695,673,503,947,14636587.629999992,21059.838316547,15285.299726618707
2024-02-01,Electronics,Gujarat,Regular,556,537,425,774,12723310.79,22883.6525,16193.399190647482
2024-02-01,Sports,Tamil Nadu,New,57,57,56,75,1030255.21,18074.652807018,12636.662105263156
2024-02-01,Electronics,Karnataka,Premium,172,168,161,242,3171261.6600000006,18437.567790698,13025.200116279069
2024-02-01,Sports,West Bengal,Regular,211,203,192,280,4152665.6999999988,19680.880094787,15080.710142180096
2024-02-01,Home & Kitchen,Delhi,Regular,428,414,338,570,8542422.790000001,19958.931752336,15613.765981308406
2024-02-01,Sports,Tamil Nadu,Premium,50,50,47,70,1575131.7900000003,31502.6358,19379.665399999998
2024-02-01,Sports,Delhi,New,60,58,56,79,1231093.1,20518.218333333,14848.144500000002
2024-02-01,Beauty,Tamil Nadu,Regular,296,291,263,399,5977949.2399999984,20195.774459459,15151.482939189187
2024-02-01,Sports,Tamil Nadu,Regular,297,288,267,400,6334512.0999999987,21328.323569024,15685.294579124582
2024-02-01,Fashion,Telangana,Premium,127,123,117,189,2822246.5500000003,22222.413779528,13301.064488188978
2024-02-01,Home & Kitchen,Telangana,New,121,117,113,158,1602336.59,13242.451157025,11036.717768595041
2024-02-01,Sports,Maharashtra,Regular,373,368,312,502,6722807.4400000013,18023.612439678,13541.619705093834
2024-02-01,Home & Kitchen,Telangana,Premium,115,111,109,144,2407707.6500000004,20936.58826087,15725.423304347823
2024-02-01,Home & Kitchen,West Bengal,New,81,77,78,119,1796616.46,22180.450123457,14260.306666666667
2024-02-01,Fashion,Gujarat,New,97,95,91,142,2482004.85,25587.678865979,15140.442268041237
2024-02-01,Electronics,Gujarat,Premium,116,112,109,166,3245344.5399999991,27977.108103448,19046.101982758621
2024-02-01,Sports,West Bengal,New,45,44,43,58,1049559.08,23323.535111111,18033.134000000002
2024-02-01,Sports,Karnataka,Premium,67,67,64,87,1010394.7399999998,15080.518507463,12885.527313432836
2024-02-01,Sports,Karnataka,New,72,71,69,93,1354814.4200000004,18816.866944444,14367.301666666668
2024-02-01,Fashion,Uttar Pradesh,New,158,151,145,206,3292235.3400000008,20836.932531646,16022.1779113924
2024-02-01,Beauty,Telangana,Premium,85,84,80,112,1885518.4599999997,22182.570117647,15341.484352941177
2024-02-01,Grocery,Karnataka,New,79,75,76,100,1327339.2999999998,16801.763291139,13092.122151898737
2024-02-01,Beauty,Telangana,New,83,82,82,112,938821.93999999971,11311.107710843,8425.3406024096384
2024-02-01,Electronics,Delhi,Premium,106,103,104,143,1544647.16,14572.143018868,11939.284245283019
2024-02-01,Grocery,Tamil Nadu,Regular,332,326,286,453,8232846.0699999975,24797.729126506,17798.507108433732
2024-02-01,Fashion,Gujarat,Premium,114,107,106,150,2324826.7199999997,20393.216842105,15785.959298245612
2024-02-01,Grocery,Telangana,Premium,78,78,77,113,1660550.28,21289.106153846,16381.01
2024-02-01,Electronics,Maharashtra,Regular,964,929,610,1340,19759927.799999997,20497.850414938,14721.409657676351
2024-02-01,Grocery,Maharashtra,New,87,85,85,125,1890985.4500000002,21735.464942529,14034.79
2024-02-01,Electronics,Delhi,New,128,122,121,167,2467602.59,19278.145234375,16582.405703125
2024-02-01,Beauty,West Bengal,Premium,48,47,47,68,595388.92000000016,12403.935833333,9595.9814583333336
2024-02-01,Home & Kitchen,West Bengal,Premium,76,73,70,105,1435983.2999999998,18894.517105263,14979.768552631576
2024-02-01,Grocery,Gujarat,Premium,60,60,58,82,617904.89000000013,10298.414833333,8260.395
2024-02-01,Beauty,Uttar Pradesh,New,69,69,67,89,1593895.02,23099.927826087,18409.040869565215
2024-02-01,Beauty,Karnataka,Premium,87,87,83,119,1761502.7699999998,20247.158275862,15907.335172413792
2024-02-01,Home & Kitchen,West Bengal,Regular,364,354,298,517,7763436.8599999975,21328.123241758,14492.265384615383
2024-02-01,Beauty,Maharashtra,New,92,89,85,134,2330025.46,25326.363695652,16350.06608695652
2024-02-01,Fashion,Delhi,Regular,489,473,395,675,10959505.169999996,22412.07601227,15864.124335378323
2024-02-01,Home & Kitchen,Tamil Nadu,Regular,516,505,406,713,10006971.65,19393.355910853,13761.204593023262
2024-02-01,Beauty,Delhi,Premium,54,54,54,79,902432.82000000007,16711.718888889,10660.085000000001
2024-02-01,Fashion,Maharashtra,Regular,815,789,550,1122,17115150.739999995,21000.184957055,15088.567803680984
2024-02-01,Beauty,West Bengal,New,49,47,48,73,1306560.84,26664.506938776,16589.913673469386
2024-02-01,Sports,Uttar Pradesh,New,81,78,78,102,1390906.05,17171.67962963,14064.533086419757
